日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2013/1/2,29.136,-,1.32625,87.2,1.63205,1.04705,7.75195,6.2303,-,-
2013/1/3,29.002,-,1.3136,87.255,1.62185,1.04855,7.75195,6.2303,-,-
2013/1/4,29.001,-,1.3037,87.76,1.6074,1.0442,7.75175,6.2304,-,-
2013/1/7,29.003,-,1.30405,87.855,1.60315,1.04705,7.75085,6.22815,-,-
2013/1/8,29.014,-,1.3128,87.545,1.6112,1.04835,7.75185,6.2255,-,-
2013/1/9,29.028,-,1.30805,87.48,1.60495,1.05055,7.75175,6.22205,-,-
2013/1/10,28.991,-,1.30435,88.165,1.6009,1.055,7.75155,6.22315,-,-
2013/1/11,28.947,-,1.32625,89.095,1.615,1.05825,7.75275,6.2152,-,-
2013/1/14,28.95,-,1.33905,89.555,1.61405,1.0558,7.7525,6.21475,-,-
2013/1/15,28.951,-,1.33605,89.015,1.60765,1.05475,7.75285,6.2146,-,-
2013/1/16,28.973,-,1.3285,88.095,1.60545,1.05485,7.75285,6.21565,-,-
2013/1/17,28.981,-,1.32805,88.3,1.5996,1.04995,7.75295,6.21695,-,-
2013/1/18,28.95,-,1.3382,89.945,1.59855,1.05255,7.75245,6.2151,-,-
2013/1/21,28.954,-,1.33185,89.575,1.5867,1.05115,7.75325,6.21865,-,-
2013/1/22,28.992,-,1.33465,89.18,1.58565,1.05505,7.7535,6.21975,-,-
2013/1/23,28.998,-,1.3313,88.28,1.58295,1.05365,7.75355,6.21845,-,-
2013/1/24,29.022,-,1.33145,89.185,1.58315,1.05195,7.75305,6.2193,-,-
2013/1/25,29.17,-,1.3362,90.465,1.5774,1.04515,7.75415,6.2204,-,-
2013/1/28,29.435,-,1.34635,91.03,1.57635,1.04145,7.7555,6.2231,-,-
2013/1/29,29.629,-,1.3453,90.745,1.5706,1.04435,7.75785,6.22475,-,-
2013/1/30,29.554,-,1.3486,90.865,1.5744,1.04735,7.75825,6.2197,-,-
2013/1/31,29.549,-,1.3572,90.92,1.58075,1.0396,7.758,6.2189,-,-
2013/2/1,29.604,-,1.3624,92.15,1.58765,1.0394,7.75695,6.2261,-,-
2013/2/4,29.562,-,1.3626,92.685,1.57025,1.04345,7.75535,6.2288,-,-
2013/2/5,29.518,-,1.34845,92.38,1.5762,1.04045,7.75475,6.2289,-,-
2013/2/6,29.488,-,1.35785,93.94,1.56555,1.03475,7.754,6.2319,-,-
2013/2/18,29.651,-,1.33375,93.995,1.5488,1.02905,7.75535,6.24095,-,-
2013/2/19,29.574,-,1.3351,93.685,1.5472,1.03215,7.75505,6.2425,-,-
2013/2/20,29.55,-,1.34095,93.235,1.5435,1.036,7.75455,6.2413,-,-
2013/2/21,29.616,-,1.3254,93.5,1.5154,1.02375,7.75585,6.24155,-,-
2013/2/22,29.604,-,1.3211,93.265,1.52895,1.03105,7.75605,6.2391,-,-
2013/2/23,29.602,-,1.3192,93.405,1.51655,1.03205,7.75655,6.2351,-,-
2013/2/25,29.672,-,1.31925,94.09,1.51245,1.02805,7.75665,6.23365,-,-
2013/2/26,29.676,-,1.30525,91.985,1.52075,1.02765,7.75695,6.2299,-,-
2013/2/27,29.649,-,1.3056,91.78,1.5106,1.02195,7.75775,6.227,-,-
2013/3/1,29.606,-,1.30795,92.605,1.5179,1.02315,7.75495,6.2229,-,-
2013/3/4,29.67,-,1.30205,93.42,1.5038,1.01295,7.7555,6.225,-,-
2013/3/5,29.676,-,1.3037,92.975,1.51285,1.0246,7.75575,6.2226,-,-
2013/3/6,29.615,-,1.30625,93.195,1.51385,1.02835,7.756,6.21635,-,-
2013/3/7,29.632,-,1.29925,93.9,1.49975,1.02485,7.75645,6.21975,-,-
