日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2018/1/2,29.628,4.559868,1.2035,112.6,1.35365,0.78305,7.8155,6.49755,12.3471,0.71205
2018/1/3,29.6,4.552302,1.2033,112.33,1.3591,0.78175,7.8177,6.5022,12.445,0.7095
2018/1/4,29.59,4.554226,1.2027,112.645,1.35225,0.78465,7.8183,6.49725,12.2862,0.7122
2018/1/5,29.523,4.555045,1.2057,113.15,1.35515,0.7842,7.8191,6.4814,12.3337,0.7155
2018/1/8,29.523,4.545597,1.1999,113.34,1.35405,0.78335,7.82185,6.49485,12.37065,0.71615
2018/1/9,29.536,4.52713,1.19435,112.785,1.3539,0.78365,7.8221,6.5242,12.4325,0.7179
2018/1/10,29.601,4.534429,1.1945,111.905,1.3514,0.78265,7.8241,6.52805,12.39125,0.718
2018/1/11,29.605,4.543894,1.1939,111.74,1.34855,0.7871,7.8232,6.51535,12.4652,0.72045
2018/1/12,29.6,4.568819,1.2062,111.34,1.35455,0.78685,7.82355,6.4787,12.42715,0.7242
2018/1/15,29.542,4.586514,1.2214,110.72,1.3754,0.7947,7.82425,6.44105,12.36915,0.7276
2018/1/16,29.555,4.593911,1.2258,110.71,1.3788,0.79685,7.82445,6.4335,12.24415,0.72865
2018/1/17,29.56,4.592087,1.2233,110.745,1.37805,0.7961,7.8188,6.43715,12.32195,0.7256
2018/1/18,29.562,4.60035,1.22155,111.195,1.38415,0.79815,7.8186,6.42605,12.244,0.73035
2018/1/19,29.43,4.595141,1.2271,110.71,1.3924,0.80145,7.81695,6.4046,12.1514,0.7297
2018/1/22,29.432,4.596337,1.2241,110.77,1.3899,0.7998,7.8177,6.40335,12.04885,0.72895
2018/1/23,29.402,4.590858,1.224,111.025,1.39535,0.79625,7.8167,6.40445,12.10765,0.7312
2018/1/24,29.302,4.587375,1.2328,109.865,1.40475,0.80275,7.8188,6.38755,12.0274,0.73745
2018/1/25,29.069,4.585925,1.2414,109.09,1.42425,0.80795,7.81695,6.33875,11.9142,0.7362
2018/1/26,29.101,4.605786,1.24825,108.945,1.42575,0.8089,7.819,6.31835,11.8225,0.7371
2018/1/29,29.15,4.605117,1.2399,108.915,1.4128,0.8086,7.81945,6.3299,11.9621,0.733
2018/1/30,29.24,4.605329,1.2343,108.765,1.3987,0.8049,7.81855,6.34915,12.03975,0.72835
2018/1/31,29.15,4.627825,1.24455,108.685,1.41825,0.8094,7.8192,6.29885,11.8737,0.73905
2018/2/1,29.207,4.636407,1.2433,109.465,1.42495,0.80245,7.8209,6.2995,11.8791,0.7365
2018/2/2,29.235,4.652838,1.2506,109.785,1.42455,0.80025,7.8192,6.28325,11.949,0.73635
2018/2/5,29.307,4.647152,1.2444,109.8,1.41055,0.7925,7.8208,6.30645,12.0602,0.7305
2018/2/6,29.386,4.668436,1.2415,109.09,1.39755,0.78735,7.8192,6.2946,12.10875,0.73035
2018/2/7,29.27,4.668331,1.23745,109.05,1.3936,0.78755,7.8197,6.2699,11.91235,0.7321
2018/2/8,29.39,4.633304,1.22595,109.57,1.38755,0.78285,7.819,6.3432,12.07285,0.72085
2018/2/9,29.407,4.658804,1.2274,109.175,1.39575,0.77805,7.8189,6.31215,12.10225,0.72135
2018/2/12,29.4,4.641907,1.2262,108.625,1.3835,0.7813,7.81935,6.3336,11.961,0.7249
