Date,Open,High,Low,Close,Adj Close,Volume
1994-05-04,120.455002,121.345001,118.934998,119.025002,118.967438,0
1994-05-05,119.025002,120.105003,118.035004,118.269997,118.212799,0
1994-05-06,118.269997,118.269997,115.489998,117.695000,117.638077,0
1994-05-09,117.695000,118.360001,115.519997,115.610001,115.554085,0
1994-05-10,115.610001,117.775002,115.610001,117.440002,117.383202,0
1994-05-11,117.440002,118.519997,115.050003,115.345001,115.289215,0
1994-05-12,115.345001,117.235001,114.739998,114.915001,114.859421,0
1994-05-13,114.915001,115.019997,111.470001,113.584999,113.530067,0
1994-05-16,113.584999,113.614998,111.175003,111.235001,111.181206,0
1994-05-17,111.235001,111.470001,106.919998,110.760002,110.706436,0
1994-05-18,110.760002,116.834999,110.760002,115.714996,115.659035,0
1994-05-19,115.714996,119.540001,115.714996,119.010002,118.952446,0
1994-05-20,119.010002,119.070000,117.680000,118.610001,118.552635,0
1994-05-23,118.610001,119.305000,117.529999,117.885002,117.827988,0
1994-05-24,117.885002,119.675003,117.824997,119.099998,119.042397,0
1994-05-25,119.099998,119.570000,117.739998,119.084999,119.027405,0
1994-05-26,119.084999,119.864998,117.440002,117.915001,117.857971,0
1994-05-27,117.915001,118.504997,116.879997,118.419998,118.362724,0
1994-05-31,118.419998,121.934998,117.470001,121.775002,121.716110,0
1994-06-01,121.775002,128.500000,121.285004,128.244995,128.182968,0
1994-06-02,128.244995,129.774994,128.054993,128.304993,128.242935,0
1994-06-03,128.304993,129.869995,126.724998,126.959999,126.898598,0
1994-06-06,126.959999,127.904999,126.044998,126.250000,126.188942,0
1994-06-07,126.250000,126.635002,123.029999,123.144997,123.085442,0
1994-06-08,123.144997,123.205002,116.169998,117.709999,117.653069,0
1994-06-09,117.709999,118.360001,114.750000,115.610001,115.554085,0
1994-06-10,115.610001,119.364998,115.610001,118.830002,118.772530,0
1994-06-13,118.830002,120.785004,118.330002,118.489998,118.432693,0
1994-06-14,118.489998,122.464996,118.489998,121.760002,121.701118,0
1994-06-15,121.760002,124.055000,121.760002,122.114998,122.055939,0
1994-06-16,122.114998,122.820000,121.375000,121.830002,121.771080,0
1994-06-17,121.860001,121.860001,119.154999,119.555000,119.497177,0
1994-06-20,119.555000,119.555000,116.970001,117.190002,117.133324,0
1994-06-21,115.815002,115.964996,113.540001,114.665001,114.609543,0
1994-06-22,114.665001,118.504997,114.665001,117.855003,117.798004,0
1994-06-23,117.855003,118.830002,113.940002,113.985001,113.929871,0
1994-06-24,113.985001,116.025002,112.714996,114.175003,114.119781,0
1994-06-27,114.175003,118.195000,113.394997,118.165001,118.107849,0
1994-06-28,118.165001,120.739998,117.855003,120.544998,120.486702,0
1994-06-29,120.544998,122.040001,120.339996,120.959999,120.901497,0
1994-06-30,120.959999,121.669998,119.040001,119.464996,119.407219,0
1994-07-01,119.464996,120.129997,118.459999,120.129997,120.071899,0
1994-07-05,120.129997,120.839996,119.779999,119.925003,119.867004,0
1994-07-06,119.925003,119.925003,118.150002,118.995003,118.937454,0
1994-07-07,118.995003,123.464996,118.995003,123.464996,123.405281,0
1994-07-08,123.464996,126.724998,122.440002,125.629997,125.569237,0
1994-07-11,125.629997,126.665001,124.180000,125.684998,125.624214,0
1994-07-12,125.684998,127.550003,123.824997,127.519997,127.458321,0
1994-07-13,127.519997,131.335007,127.519997,130.509995,130.446869,0
1994-07-14,130.509995,132.990005,129.740005,130.315002,130.251984,0
1994-07-15,130.315002,130.419998,124.150002,124.580002,124.519753,0
1994-07-18,124.580002,125.455002,123.309998,124.095001,124.034988,0
1994-07-19,124.095001,124.095001,120.989998,121.135002,121.076416,0
1994-07-20,121.135002,121.209999,117.900002,118.610001,118.552635,0
1994-07-21,118.610001,118.610001,115.360001,118.589996,118.532646,0
1994-07-22,118.589996,120.160004,118.589996,120.044998,119.986938,0
1994-07-25,120.044998,120.455002,118.504997,119.084999,119.027405,0
1994-07-26,119.084999,119.464996,117.915001,118.285004,118.227798,0
1994-07-27,118.285004,118.404999,116.540001,116.879997,116.823471,0
1994-07-28,116.879997,118.735001,116.790001,118.095001,118.037888,0
1994-07-29,118.095001,123.220001,118.095001,122.455002,122.395782,0
1994-08-01,122.455002,124.875000,122.455002,124.300003,124.239891,0
1994-08-02,124.300003,125.849998,124.019997,124.699997,124.639687,0
1994-08-03,124.699997,125.230003,124.065002,124.790001,124.729645,0
1994-08-04,124.790001,125.070000,122.940002,123.415001,123.355316,0
1994-08-05,123.415001,124.419998,121.790001,124.195000,124.134933,0
1994-08-08,124.195000,124.964996,123.294998,124.714996,124.654678,0
1994-08-09,124.714996,127.050003,124.714996,126.724998,126.663712,0
1994-08-10,126.724998,131.809998,126.724998,131.229996,131.166534,0
1994-08-11,131.229996,133.285004,130.509995,131.779999,131.716263,0
1994-08-12,131.779999,132.664993,131.320007,131.854996,131.791229,0
1994-08-15,131.854996,132.990005,131.660004,132.250000,132.186035,0
1994-08-16,132.250000,134.529999,132.000000,134.130005,134.065140,0
