日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2016/1/4,33.236,5.023356,1.09265,118.855,1.476,0.7213,7.75085,6.6163,15.63855,-
2016/1/5,33.27,5.00963,1.0815,119.255,1.4713,0.72075,7.751,6.6412,15.58535,-
2016/1/6,33.453,4.990585,1.07355,118.635,1.4636,0.7102,7.7515,6.7032,15.75085,-
2016/1/7,33.53,5.012467,1.07785,118.095,1.4593,0.70555,7.7522,6.6893,15.985,-
2016/1/8,33.501,5.01108,1.0893,118.265,1.4616,0.7034,7.7576,6.6854,16.038,-
2016/1/11,33.651,5.066696,1.0887,117.575,1.4544,0.6983,7.76305,6.6416,16.58865,-
2016/1/12,33.667,5.113344,1.0892,117.35,1.45235,0.69505,7.75875,6.58415,16.8806,-
2016/1/13,33.625,5.114228,1.0811,118.355,1.4421,0.70395,7.75975,6.5748,16.4672,-
2016/1/14,33.742,5.108876,1.08675,118,1.44095,0.6956,7.76995,6.6046,16.5322,-
2016/1/15,33.802,5.10657,1.08835,117.61,1.4393,0.692,7.7924,6.6193,16.56,-
2016/1/18,33.818,5.127756,1.08835,117.245,1.4297,0.6902,7.79725,6.5951,16.74385,-
2016/1/19,33.82,5.124305,1.08755,117.945,1.43,0.692,7.80775,6.5999,16.5967,-
2016/1/20,33.826,5.124064,1.09505,116.725,1.4168,0.6867,7.81925,6.6014,16.8214,-
2016/1/21,33.838,5.117591,1.08935,117.065,1.4167,0.6914,7.81595,6.6121,16.7358,-
2016/1/22,33.705,5.101926,1.08315,118.105,1.4232,0.7019,7.79105,6.60635,16.5105,-
2016/1/25,33.622,5.086067,1.08245,118.415,1.4258,0.6982,7.78795,6.6106,16.4794,-
2016/1/26,33.725,5.101412,1.08615,117.865,1.4189,0.6945,7.79665,6.6109,16.5883,-
2016/1/27,33.71,5.099244,1.08625,118.125,1.4329,0.702,7.79025,6.6108,16.4609,-
2016/1/28,33.743,5.103528,1.08785,118.845,1.427,0.7077,7.78995,6.6117,16.3327,-
2016/1/29,33.6,5.075515,1.08935,120.805,1.4363,0.712,7.78915,6.62,16.09,-
2016/1/30,33.65,5.103864,1.08325,121.135,1.4244,0.7084,7.78235,6.59305,15.922,-
2016/2/1,33.67,5.096662,1.08465,121.145,1.4262,0.7069,7.78315,6.6063,15.9686,-
2016/2/2,33.68,5.088307,1.08995,120.735,1.4396,0.7088,7.77825,6.6191,15.9661,-
2016/2/3,33.808,5.089423,1.09185,119.835,1.4389,0.7046,7.79735,6.6428,16.25255,-
2016/2/15,33.421,5.144394,1.12045,113.715,1.4503,0.7144,7.78425,6.4966,15.7937,-
2016/2/16,33.453,5.134534,1.11665,114.315,1.4446,0.717,7.788,6.5153,15.76395,-
2016/2/17,33.505,5.132128,1.11745,113.505,1.4261,0.7102,7.78865,6.5285,15.83775,-
2016/2/18,33.525,5.140221,1.11345,113.815,1.4279,0.7143,7.77995,6.5221,15.4915,-
2016/2/19,33.561,5.143693,1.11225,113.105,1.4319,0.7111,7.7766,6.5247,15.411,-
2016/2/22,33.567,5.143606,1.10885,112.955,1.4204,0.7188,7.77015,6.52595,15.37235,-
2016/2/23,33.485,5.124444,1.10515,111.895,1.4117,0.7229,7.76775,6.53435,15.2741,-
2016/2/24,33.49,5.123669,1.10035,112.045,1.398,0.7185,7.76915,6.53635,15.2349,-
2016/2/25,33.496,5.122275,1.10275,112.075,1.393,0.7186,7.7694,6.5393,15.65285,-
2016/2/26,33.492,5.122501,1.10395,112.905,1.4017,0.7228,7.76865,6.5382,15.5292,-
2016/3/1,33.436,5.108018,1.08645,113.075,1.3939,0.7176,7.7727,6.5458,15.70665,-
2016/3/2,33.37,5.091795,1.08735,114.315,1.397,0.7214,7.77445,6.5537,15.7,-
2016/3/3,33.179,5.069054,1.08655,113.99,1.4083,0.7308,7.77535,6.5454,15.6069,-
2016/3/4,33.101,5.079713,1.09425,113.925,1.415,0.7369,7.76855,6.5163,15.66375,-
2016/3/7,33.01,5.06621,1.09545,113.745,1.4167,0.7405,7.76855,6.5157,15.318,-
2016/3/8,33.062,5.080042,1.10285,113.005,1.4249,0.7432,7.76655,6.5082,15.3855,-
2016/3/9,33.225,5.097047,1.09645,112.49,1.4191,0.7447,7.76535,6.5185,15.43695,-
2016/3/10,33.08,5.074704,1.09735,113.545,1.4208,0.7469,7.7652,6.5186,15.1978,-
2016/3/11,32.95,5.072587,1.11295,113.865,1.4261,0.7498,7.76065,6.4957,15.21045,-
2016/3/14,32.87,5.062867,1.11285,113.76,1.4365,0.7528,7.75925,6.49235,15.34545,-
2016/3/15,32.918,5.061472,1.11175,113.095,1.4251,0.7467,7.75985,6.50365,15.6643,-
2016/3/16,32.95,5.052685,1.10805,113.695,1.4114,0.746,7.7609,6.5213,16.04335,-
2016/3/17,32.706,5.038948,1.12725,111.575,1.4279,0.7643,7.75775,6.49065,15.6626,-
2016/3/18,32.52,5.026616,1.12965,111.205,1.4453,0.7636,7.75665,6.46955,15.28585,-
2016/3/21,32.545,5.020392,1.12545,111.455,1.4388,0.759,7.7545,6.48255,15.418,-
2016/3/22,32.525,5.010021,1.1226,111.605,1.4318,0.75905,7.7538,6.492,15.25855,-
2016/3/23,32.625,5.017725,1.11915,112.505,1.4196,0.7607,7.75745,6.50195,15.24565,-
2016/3/24,32.726,5.018859,1.11555,112.845,1.4073,0.7497,7.75815,6.5206,15.4255,-
2016/3/25,32.766,5.02139,1.11655,112.99,1.4128,0.7528,7.7575,6.5253,15.47225,-
2016/3/28,32.72,5.01807,1.11715,113.425,1.4176,0.7538,7.75805,6.52045,15.43015,-
2016/3/29,32.695,5.017146,1.11735,113.65,1.4225,0.7532,7.7571,6.51665,15.49455,-
2016/3/30,32.425,5.003372,1.13275,112.165,1.44225,0.7676,7.7535,6.48065,14.96995,-
2016/3/31,32.282,4.987149,1.1341,112.475,1.43555,0.76575,7.75405,6.47305,14.8692,-
2016/4/1,32.378,5.002887,1.13885,112.335,1.4363,0.7676,7.75455,6.47185,14.7253,-
2016/4/6,32.442,5.000026,1.13565,110.315,1.41245,0.7551,7.75695,6.48835,15.1797,-
2016/4/7,32.402,4.998268,1.13895,108.625,1.4072,0.758,7.75655,6.48265,15.1457,-
