日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2015/1/5,32.007,-,1.19425,120.555,1.52865,0.8055,7.75655,6.23735,11.73525,-
2015/1/6,31.998,-,1.19555,119.115,1.52595,0.8138,7.75475,6.2152,11.69155,-
2015/1/7,31.972,-,1.18755,118.995,1.51385,0.8074,7.7547,6.21,11.7254,-
2015/1/8,31.99,-,1.182,119.72,1.50835,0.8106,7.7554,6.2193,11.6885,-
2015/1/9,31.957,-,1.18105,119.275,1.50975,0.8139,7.75455,6.2093,11.57935,-
2015/1/12,31.845,-,1.18575,118.165,1.51625,0.82465,7.75375,6.1986,11.474,-
2015/1/13,31.811,-,1.18295,118.395,1.51595,0.81655,7.75375,6.2052,11.50485,-
2015/1/14,31.774,-,1.17925,117.045,1.5167,0.80885,7.7537,6.1937,11.559,-
2015/1/15,31.747,-,1.17665,117.795,1.52285,0.8204,7.75435,6.1973,11.4578,-
2015/1/16,31.615,-,1.16325,116.325,1.5182,0.82315,7.75155,6.2075,11.5503,-
2015/1/19,31.512,-,1.15575,117.205,1.51375,0.82135,7.75205,6.2165,11.5652,-
2015/1/20,31.595,-,1.15795,118.315,1.5075,0.8184,7.7526,6.2171,11.6647,-
2015/1/21,31.554,-,1.15665,117.865,1.51535,0.821,7.7532,6.2172,11.584,-
2015/1/22,31.46,-,1.15925,118.205,1.51335,0.8068,7.75325,6.2113,11.52095,-
2015/1/23,31.32,-,1.13255,118.635,1.49865,0.7982,7.75255,6.2282,11.42685,-
2015/1/26,31.312,-,1.11795,117.635,1.5003,0.7884,7.7528,6.2476,11.4282,-
2015/1/27,31.274,-,1.12405,118.235,1.51035,0.79335,7.75215,6.2535,11.455,-
2015/1/28,31.218,-,1.13365,118.175,1.51625,0.79905,7.75235,6.2471,11.5855,-
2015/1/29,31.414,-,1.12685,117.785,1.51345,0.78665,7.75175,6.2509,11.5882,-
2015/1/30,31.508,-,1.13375,117.865,1.5082,0.7793,7.752,6.2515,11.5398,-
2015/2/2,31.655,-,1.13105,117.605,1.50785,0.7785,7.75415,6.2465,11.6206,-
2015/2/3,31.562,-,1.13245,116.975,1.50165,0.7655,7.75455,6.2591,11.52635,-
2015/2/4,31.419,-,1.14795,117.675,1.51715,0.7837,7.75425,6.2469,11.3772,-
2015/2/5,31.4,-,1.13515,117.265,1.52115,0.7781,7.75325,6.2552,11.47455,-
2015/2/6,31.4,-,1.14705,117.325,1.53385,0.78345,7.75225,6.2403,11.30215,-
2015/2/9,31.514,-,1.13345,118.855,1.52575,0.77645,7.75335,6.2426,11.5078,-
2015/2/10,31.473,-,1.13345,118.505,1.52375,0.7818,7.75335,6.2449,11.57305,-
2015/2/11,31.51,-,1.13155,119.605,1.52415,0.77725,7.75405,6.2419,11.67845,-
2015/2/12,31.568,-,1.13115,120.275,1.5219,0.76495,7.75425,6.2474,11.84975,-
2015/2/13,31.46,-,1.14325,118.535,1.54125,0.77835,7.75465,6.2426,11.7065,-
2015/2/24,31.581,-,1.13385,119.045,1.5443,0.7774,7.7566,6.2556,11.66165,-
