日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2014/1/2,29.859,-,1.37505,105.31,1.65905,0.89145,7.75445,6.0527,-,-
2014/1/3,29.944,-,1.36585,104.175,1.64425,0.8975,7.7541,6.053,-,-
2014/1/6,29.998,-,1.35855,104.25,1.63605,0.89535,7.7544,6.07615,-,-
2014/1/7,30.074,-,1.36245,104.475,1.63945,0.892,7.7543,6.0517,-,-
2014/1/8,30.085,-,1.36325,104.97,1.64135,0.89265,7.75435,6.0522,-,-
2014/1/9,30.103,-,1.35835,104.885,1.64495,0.88785,7.75445,6.0542,-,-
2014/1/10,30.02,-,1.36115,104.93,1.64795,0.89,7.7545,6.0542,-,-
2014/1/13,29.975,-,1.36795,103.45,1.6501,0.90295,7.75435,6.0455,-,-
2014/1/14,30.028,-,1.36675,103.31,1.63885,0.9036,7.75415,6.0423,-,-
2014/1/15,30.095,-,1.36325,104.395,1.64195,0.89165,7.7545,6.0466,-,-
2014/1/16,30.092,-,1.36185,104.7,1.63525,0.8814,7.75475,6.0499,-,-
2014/1/17,30.077,-,1.36125,104.27,1.6331,0.88065,7.7549,6.0539,-,-
2014/1/20,30.102,-,1.35295,104.08,1.64165,0.87795,7.7558,6.0529,-,-
2014/1/21,30.119,-,1.35465,104.6,1.6427,0.88225,7.75645,6.0502,-,-
2014/1/22,30.156,-,1.35615,104.525,1.6478,0.8865,7.75685,6.0502,-,-
2014/1/23,30.197,-,1.35485,104.38,1.65635,0.87985,7.7582,6.0528,-,-
2014/1/24,30.215,-,1.36905,103.26,1.6634,0.8698,7.76155,6.0472,-,-
2014/1/27,30.378,-,1.36845,102.52,1.65105,0.8716,7.76255,6.0475,-,-
2014/2/5,30.318,-,1.35145,101.46,1.63375,0.8892,7.76275,6.0623,-,-
2014/2/6,30.269,-,1.35225,101.575,1.63015,0.89575,7.75985,6.0611,-,-
2014/2/7,30.28,-,1.35905,102.07,1.6329,0.89425,7.75955,6.0637,-,-
2014/2/10,30.294,-,1.36225,102.42,1.64075,0.89345,7.75695,6.0606,-,-
2014/2/11,30.334,-,1.36675,102.39,1.64235,0.89995,7.75715,6.0601,-,-
2014/2/12,30.305,-,1.36335,102.54,1.64505,0.90585,7.75565,6.0611,-,-
2014/2/13,30.325,-,1.36095,102.09,1.66125,0.8936,7.75725,6.064,-,-
2014/2/14,30.302,-,1.36825,101.675,1.6648,0.89905,7.75635,6.0629,-,-
2014/2/17,30.233,-,1.37105,101.565,1.67905,0.9051,7.75555,6.0649,-,-
2014/2/18,30.294,-,1.371,102.69,1.6726,0.9037,7.75555,6.0654,-,-
2014/2/19,30.293,-,1.37665,102.17,1.66915,0.90175,7.7554,6.0745,-,-
2014/2/20,30.301,-,1.3752,101.98,1.66785,0.895,7.75585,6.0844,-,-
2014/2/21,30.319,-,1.3717,102.575,1.66445,0.89965,7.75535,6.0879,-,-
2014/2/24,30.342,-,1.3738,102.265,1.66465,0.89695,7.75595,6.0939,-,-
2014/2/25,30.338,-,1.3737,102.55,1.66695,0.9029,7.75945,6.1124,-,-
2014/2/26,30.316,-,1.374,102.31,1.66745,0.9006,7.75895,6.1276,-,-
2014/2/27,30.291,-,1.3688,102.375,1.66705,0.89435,7.7597,6.1248,-,-
2014/3/3,30.298,-,1.3782,101.46,1.67465,0.8927,7.7603,6.1546,-,-
2014/3/4,30.295,-,1.3734,101.66,1.66575,0.89275,7.7603,6.1494,-,-
2014/3/5,30.287,-,1.3733,102.175,1.6669,0.89575,7.76055,6.1374,-,-
2014/3/6,30.282,-,1.37255,102.71,1.67105,0.9011,7.76055,6.1145,-,-
2014/3/7,30.256,-,1.38575,102.98,1.67385,0.90855,7.76045,6.115,-,-
2014/3/10,30.286,-,1.3883,103.08,1.67335,0.9037,7.76075,6.1346,-,-
2014/3/11,30.284,-,1.38635,103.275,1.66325,0.9026,7.76065,6.13335,-,-
2014/3/12,30.32,-,1.3856,102.96,1.66225,0.89525,7.76225,6.1436,-,-
2014/3/13,30.33,-,1.3938,102.76,1.66635,0.90615,7.76425,6.1372,-,-
2014/3/14,30.327,-,1.38605,101.685,1.6618,0.9008,7.76545,6.1484,-,-
2014/3/17,30.324,-,1.3903,101.46,1.66395,0.9059,7.76585,6.1432,-,-
2014/3/18,30.322,-,1.39295,101.81,1.66365,0.90775,7.7657,6.189,-,-
2014/3/19,30.41,-,1.3918,101.56,1.65915,0.91175,7.76575,6.2004,-,-
2014/3/20,30.539,-,1.3834,102.29,1.6537,0.90175,7.76415,6.2159,-,-
2014/3/21,30.622,-,1.3784,102.365,1.65105,0.9066,7.76415,6.2214,-,-
2014/3/24,30.583,-,1.3803,102.435,1.64885,0.9087,7.75955,6.2222,-,-
2014/3/25,30.53,-,1.3828,102.325,1.64885,0.9129,7.75735,6.1828,-,-
2014/3/26,30.55,-,1.3809,102.325,1.65265,0.91975,7.75795,6.2113,-,-
2014/3/27,30.542,-,1.379,102.185,1.6579,0.924,7.75875,6.215,-,-
2014/3/28,30.512,-,1.37485,102.155,1.66185,0.9267,7.75765,6.2144,-,-
2014/3/31,30.475,-,1.3752,102.845,1.6634,0.92265,7.75765,6.2268,-,-
2014/4/1,30.414,-,1.3777,103.275,1.66625,0.9263,7.75735,6.1994,-,-
2014/4/2,30.285,-,1.38075,103.755,1.66285,0.9235,7.75735,6.2054,-,-
2014/4/3,30.3,-,1.3759,103.955,1.6639,0.92135,7.75725,6.2075,-,-
2014/4/7,30.244,-,1.3702,103.035,1.65685,0.92775,7.7569,6.2133,-,-
2014/4/8,30.252,-,1.3743,102.945,1.6618,0.9294,7.7553,6.2074,-,-
2014/4/9,30.085,-,1.3792,102.025,1.67515,0.937,7.7541,6.1952,-,-
2014/4/10,30.047,-,1.3846,101.715,1.67935,0.9407,7.75455,6.2067,-,-
2014/4/11,30.083,-,1.3894,101.605,1.67685,0.9373,7.75415,6.2124,-,-
2014/4/14,30.181,-,1.38545,101.645,1.67375,0.93955,7.7537,6.212,-,-
2014/4/15,30.208,-,1.38165,101.865,1.6715,0.9388,7.75435,6.2206,-,-
2014/4/16,30.153,-,1.3818,102.185,1.67235,0.9367,7.75465,6.2233,-,-
2014/4/17,30.164,-,1.3839,102.035,1.68335,0.9365,7.7541,6.2185,-,-
